Type of AN,Date,Name of Corporate Debtor (Table),Date of Auction (Table),Name of Insolvency Professional (Table),Auction Notice URL,Reserve Price (Table),Nature of Assets (Table),Last Date of EMD (Table),Details URL
Corrigendum,26-03-2025,RAIHAN HEALTHCARE PRIVATE LIMITED,08-04-2025,Mr. Mahalingam Suresh Kumar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-26-115022-bcxdq-010b20a21ec5d61d6f8b51311680cc34.pdf,"3,75,00,000",Immovable Properties...Immovable Properties of Quarters land & building,07-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742970022_7663.pdf
Issue of Auction Notice,26-03-2025,MAN TUBINOX LIMITED,24-04-2025,Mr. Vikas Prakash Gupta,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-26-171316-7mrtq-3f85a97b0671752f5cbbf1383c4a4dab.pdf,"9,27,00,000",Sale of the Corporat...Sale of the Corporate Debtor as going concern basis,21-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742989420_7666.pdf
Issue of Auction Notice,26-03-2025,SPACEVISION IMPEX PRIVATE LIMITED,24-04-2025,Mr. Rakesh Prasad Khandelwal,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-26-144657-a6il9-750ef72ae4c886796221f07fb3fd5729.pdf,"68,85,000",Shop/ Office,21-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742980618_7667.pdf
Issue of Auction Notice,26-03-2025,VARANASI AUTO SALES LIMITED,25-04-2025,Mr. Yogesh Gupta,https://ibbi.gov.in/uploads/auction_notice_liquidation/c50ad6fc0ab8535d8b4882c17d4ac4f7.pdf,"15,50,000","OLD AND OUTDATED, NO...OLD AND OUTDATED, NON WORKING CONDITION AUTO SPARES AND STORES, MACHINES, EQUIPMENTS, TOOLS, COMPUTER, FURNITURE, MOTOR VEHICLES, MOTOR BIKES",22-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742998297_7668.pdf
Issue of Auction Notice,25-03-2025,AVJ Infrastructure Private Limited,28-04-2025,Mr. Brijender Singh Deswal,https://ibbi.gov.in/uploads/auction_notice_liquidation/81fc7cd7937cf6dc55399d7cbf469fee.pdf,0,"Offers are invited (...Offers are invited (3rd TIME) for assignment/transfer of NRRA ie Not readily realizable assets of AVJ INFRASTRUCTURE PVT LTD (in liquidation) {being “Disputed assets” being the Stock of Sand lying at Odhri / Financial Assets / Loans and Advances/ Debtors / other Receivables/ Hypothecation of book debts (as reflected in the audited Balance Sheet of the Corporate debtor)/ remaining debtors/receivables and Assets underlying Avoidance Applications filed with Hon’ble NCLT which are being considered as Not Readily Realizable Assets}, under Regulation 37A of IBBI Liquidation Process Regulations, 2016 (Within ambit of IBC, 2016) on “AS IS WHERE IS, AS IS WHAT IS, WHATEVER THERE IS AND WITHOUT RECOURSE BASIS’’",25-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742884191_7652.pdf
Issue of Auction Notice,25-03-2025,Aventura Components Private Limited,28-04-2025,Anil Kumar Mittal,https://ibbi.gov.in/uploads/auction_notice_liquidation/74d1b33ce221b3be9a6953c33fbcbb9e.pdf,"2,20,000","a)	Old office Tables...a)	Old office Tables, Chairs, Side Rack, Iron Almirah, Wooden Cabinet, 
        Garden Chairs, Steel racks etc. 
b)	Old Split & Window AC, Stabilizers, Pedestal fan &Wall fan
c)	Old Computers, Monitors, Scanner, Keyboards & UPS
d)	Old Sofa set, Conference Table
e)	Old Fridge, Microwave, water dispenser & Cooler
f)      Invoice Files, Folders & Paper Files",26-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742901694_7653.pdf
Issue of Auction Notice,25-03-2025,Dev R Nil Design Private Limited,23-04-2025,Ms. Sneh Maheswari,https://ibbi.gov.in/uploads/auction_notice_liquidation/30c123b8df5c383cb3b5efeef38109da.pdf,"52,64,982","Designer garments, f...Designer garments, furniture and machines",21-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742901532_7654.pdf
Issue of Auction Notice,25-03-2025,Dev R Nil Design Private Limited,23-04-2025,Ms. Sneh Maheswari,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-25-165304-0x6q4-30c123b8df5c383cb3b5efeef38109da.pdf,"52,64,982","Designer garments, f...Designer garments, furniture and machines",21-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742901784_7658.pdf
Issue of Auction Notice,24-03-2025,Gupta Coal India Private Limited,05-04-2025,Mr. Abhay Narayan Manudhane,https://ibbi.gov.in/uploads/auction_notice_liquidation/3a7df34f4b39720d224ef1e15704484b.pdf,"9,08,10,000","1. 
2. Coal Stock l...1. 
2. Coal Stock lying at Krishnapatnam Port, AP (Excess quantity will be valued at per ton basis)",03-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742809469_7650.pdf
Issue of Auction Notice,24-03-2025,SHIVAANI ALLOYS STEEL CASTINGS LIMITED,21-04-2025,Madasa Kumar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2599c49f97db0e18f609264f42703b7b.pdf,"12,76,70,000","Company as a going c...Company as a going concern along with total assets i.e two Units 
1st unit situated at Patancheruvu, Sanga Reddy Dist.  
 2nd unit situated at Ankenpally Village, Sadasivapet Mandal, Sanga Reddy Dist. Telangana State",18-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742809784_7651.pdf
Issue of Auction Notice,23-03-2025,GEMUS ENGINEERING LTD,18-04-2025,Rashmi Chhawchharia,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-23-082235-6slk4-e65cfc1416d4c984c9a24a87eac14674.pdf,"34,31,346","Block A-Sale of the ...Block A-Sale of the Corporate Debtor as a Going Concern (without Liabilities), as per Regulation 32(e) of the IBBI Liquidation Process Regulation 2016. As is where is, As is what is, Whatever there is basis and Without recourse basis.
Block B- Sale of Assets of Corporate Debtor on Standalone basis, comprising of Land(encumbered) (Asset ID 569- eBkray platform),As is where is, As is what is, Whatever there is basis and Without recourse basis.",16-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742698355_7648.pdf
Issue of Auction Notice,23-03-2025,GEMUS ENGINEERING LTD,18-04-2025,Rashmi Chhawchharia,https://ibbi.gov.in/uploads/auction_notice_liquidation/bff7cf18054786e2f96649a7ae595881.pdf,"31,62,861",Block B- Immovable p...Block B- Immovable property – Land in the name of GEMUS ENGINEERING LIMITED - The said Land is encumbered and not in custody of Liquidator. Details of the Land can be viewed at https://ibbi.baanknet.com/eauction-ibbi/asset-listing with Asset ID 569),16-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742700396_7649.pdf
Issue of Auction Notice,22-03-2025,Bansal Refineries Private Limited,22-04-2025,Mr. Pinaki Sircar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-22-110837-ckmpr-40cffd9f0fc73d1f1da9b8980c357031.pdf,"25,02,000",Land and Building,17-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742621917_7646.pdf
Issue of Auction Notice,22-03-2025,SV SVS PROJECTS PRIVATE LIMITED,16-04-2025,GOLLA RAMAKANTHA RAO,https://ibbi.gov.in/uploads/auction_notice_liquidation/1a306849f77d2118bf3aea90982be645.pdf,"16,65,00,000","Company as a going c...Company as a going concern
8 asset parcels",14-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742629955_7647.pdf
Issue of Auction Notice,21-03-2025,Bansal Oil Extraction Pvt. Ltd,22-04-2025,Mr. Yogesh Gupta,https://ibbi.gov.in/uploads/auction_notice_liquidation/40cffd9f0fc73d1f1da9b8980c357031.pdf,"14,51,88,000",Land and Building,17-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742553132_7644.pdf
Issue of Auction Notice,21-03-2025,RAVI ELECTRONICS PVT LTD,23-04-2025,Mrs. Kalpana G,https://ibbi.gov.in/uploads/auction_notice_liquidation/15b49bc48ab1a1b179eabb5df01f2346.pdf,"11,42,00,000",Company as a whole a...Company as a whole as a going concern,19-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742566400_7645.pdf
Issue of Auction Notice,20-03-2025,Protocol Marine Services Private Limited,14-04-2025,Mr.Harish Kant Kaushik,https://ibbi.gov.in/uploads/auction_notice_liquidation/5cd6b791999da8e9c598c9df7666842f.pdf,"10,80,00,000",Land and Building,12-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742452852_7636.pdf
Issue of Auction Notice,20-03-2025,Saisons Trade & Industry Pvt Ltd,21-04-2025,Mr. Ajit Kumar,https://ibbi.gov.in/uploads/auction_notice_liquidation/ae8f796df313d3b16e8637afedacb026.pdf,"9,53,833",Lot - I: Plant and M...Lot - I: Plant and Machinery,19-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742456256_7637.pdf
Issue of Auction Notice,20-03-2025,Saisons Trade & Industry Pvt Ltd,21-04-2025,Mr. Ajit Kumar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-20-132041-doyw1-ae8f796df313d3b16e8637afedacb026.pdf,"4,31,100",LOT-2: Stock/Invento...LOT-2: Stock/Inventory,19-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742457041_7638.pdf
Issue of Auction Notice,20-03-2025,Saisons Trade & Industry Pvt Ltd,21-04-2025,Mr. Ajit Kumar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-20-132249-zrptd-ae8f796df313d3b16e8637afedacb026.pdf,"2,12,485",Vehicle - Tata (LPT)...Vehicle - Tata (LPT) Truck,19-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742457169_7639.pdf
Issue of Auction Notice,20-03-2025,Saisons Trade & Industry Pvt Ltd,21-04-2025,Mr. Ajit Kumar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-20-132712-ty4m3-ae8f796df313d3b16e8637afedacb026.pdf,"1,07,835",Vehicle - Car Maruti...Vehicle - Car Maruti Swift,19-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742457432_7640.pdf
Issue of Auction Notice,20-03-2025,Saisons Trade & Industry Pvt Ltd,21-04-2025,Mr. Ajit Kumar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-20-132842-5ez2f-ae8f796df313d3b16e8637afedacb026.pdf,"1,35,200",Vehicle - Car Ecospo...Vehicle - Car Ecosport,19-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742457522_7641.pdf
Issue of Auction Notice,20-03-2025,LANCO VIDARBHA THERMAL POWER LIMITED,17-04-2025,Mr. Vijay Kumar Garg,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-20-171353-a75zg-766ac957a75baad517ec135815a4899b.pdf,"66,33,900","Lot No. 5: GRP Pipes...Lot No. 5: GRP Pipes 1100m Diameter 
Lot No. 7: 765 KV Switchyard Material",10-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742471034_7642.pdf
Issue of Auction Notice,20-03-2025,Hansraj Agrofresh Private Limited,15-04-2025,Dev Vrat Rana,https://ibbi.gov.in/uploads/auction_notice_liquidation/b4608b2024a31f14b28546afc7d64197.pdf,"7,25,00,000","The assets of the co...The assets of the corporate debtor are being proposed to be sold under a slump sale as per Regulation 32(b) of the Insolvency and Bankruptcy Board of India (Liquidation Process) Regulations, 2016 on “AS IS WHERE IS,” “AS IS WHAT IS,” “WHATEVER THERE IS,” and “NO RECOURSE BASIS,” and as such, said proposition for disposition is without any kind of warranties and indemnities.",12-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742479350_7643.pdf
Issue of Auction Notice,19-03-2025,Punj Lloyd Limited,10-04-2025,Mr. Ashwini Mehra,https://ibbi.gov.in/uploads/auction_notice_liquidation/98673646a8165a68dd3bf6bfcceecbe2.pdf,"3,41,92,00,000",Sale of Punj Lloyd L...Sale of Punj Lloyd Limited as a whole (excluding certain assets as provided in the ‘ASPM’),07-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742362201_7624.pdf
Issue of Auction Notice,19-03-2025,Punj Lloyd Limited,11-04-2025,Mr. Ashwini Mehra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-19-110221-j2n13-98673646a8165a68dd3bf6bfcceecbe2.pdf,"1,75,90,00,000",Sale of Arbitration ...Sale of Arbitration Assets of Punj Lloyd Limited,08-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742362341_7625.pdf
Issue of Auction Notice,19-03-2025,Punj Lloyd Limited,11-04-2025,Mr. Ashwini Mehra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-19-110439-wo9kn-98673646a8165a68dd3bf6bfcceecbe2.pdf,"70,50,00,000","Sale of Leasehold La...Sale of Leasehold Land, Building and Plant & machinery at Malanpur, Madhya Pradesh",08-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742362479_7626.pdf
Issue of Auction Notice,19-03-2025,Punj Lloyd Limited,11-04-2025,Mr. Ashwini Mehra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-19-110716-sguw6-98673646a8165a68dd3bf6bfcceecbe2.pdf,"11,30,00,000","Sale of Land at Sidh...Sale of Land at Sidhudurg District, Maharashtra",08-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742362636_7627.pdf
Issue of Auction Notice,19-03-2025,Punj Lloyd Limited,11-04-2025,Mr. Ashwini Mehra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-19-110912-b54ho-98673646a8165a68dd3bf6bfcceecbe2.pdf,"89,00,000","Sale of Land at Meha...Sale of Land at Mehasana, Gujarat",08-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742362752_7628.pdf
Issue of Auction Notice,19-03-2025,Punj Lloyd Limited,11-04-2025,Mr. Ashwini Mehra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-19-111557-exs8h-98673646a8165a68dd3bf6bfcceecbe2.pdf,"29,00,000",Sale of Plant & Mach...Sale of Plant & Machinery and Inventory at DAPL site at Odisha,08-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742363157_7629.pdf
Issue of Auction Notice,19-03-2025,Punj Lloyd Limited,11-04-2025,Mr. Ashwini Mehra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-19-113041-ztkp7-98673646a8165a68dd3bf6bfcceecbe2.pdf,"26,50,00,000",Sale of Plant & Mach...Sale of Plant & Machinery at RSRP site at Chhattisgarh,08-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742364041_7631.pdf
Issue of Auction Notice,19-03-2025,FUTURE RETAIL LIMITED,07-04-2025,Mr. Sanjay Gupta,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-19-144659-nk37f-b0ffd94233cd3ba4fb0793533a9dfd0c.pdf,"6,16,00,000","100 %Equity stake of...100 %Equity stake of FRL in Travel News Services India Pvt Ltd, which is the holding company of TNSI Retail Pvt Ltd and of Welcome Retail Pvt Ltd",04-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742375819_7635.pdf
Issue of Auction Notice,17-03-2025,BLUEWATER FOODS AND EXPORTS PRIVATE LIMITED,18-04-2025,Mr. Shivadutt Bannanje,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-17-181050-fahex-faf9dc1a71a2376de49b6a168ae84219.pdf,"5,39,00,000",Land to the extent o...Land to the extent of 5 Acres 85 cents,16-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742215250_7607.pdf
Issue of Auction Notice,17-03-2025,BLUEWATER FOODS AND EXPORTS PRIVATE LIMITED,18-04-2025,Mr. Shivadutt Bannanje,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-17-181130-kctgf-faf9dc1a71a2376de49b6a168ae84219.pdf,"2,79,00,000",Land to the extent ...Land to the extent 3 acres and 3.25 cents,16-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742215290_7608.pdf
Issue of Auction Notice,17-03-2025,TECPRO INFRA PROJECTS LIMITED,31-03-2025,Ms. Satyadevi A,https://ibbi.gov.in/uploads/auction_notice_liquidation/a401e9229b1af3d28a0699f15fccbad5.pdf,"3,59,70,000",Intangible assets - ...Intangible assets - Sale of Corporate Debtor as a going concern subject to AA approval and sale of receivables from Debtors pending litigation,28-03-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742195415_7622.pdf
Issue of Auction Notice,17-03-2025,TECPRO INFRA PROJECTS LIMITED,31-03-2025,Ms. Satyadevi A,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-17-134611-xyp5r-a401e9229b1af3d28a0699f15fccbad5.pdf,"3,59,75,000",Intangible assets - ...Intangible assets - Sale of Corporate Debtor as a going concern subject to AA approval and sale of receivables from Debtors pending litigation,28-03-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742199371_7623.pdf
Corrigendum,16-03-2025,NAKODA LIMITED,06-04-2025,Ravindra Kumar Goyal,https://ibbi.gov.in/uploads/auction_notice_liquidation/b62e77558edf791c58f7495ad3fbe1df.pdf,"1,67,12,36,000","Land and Building, P...Land and Building, Plant and Machinery and Flat",31-03-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742094136_7620.pdf
Issue of Auction Notice,16-03-2025,G S Biotech Limited,08-04-2025,Mr. Chillale Rajesh,https://ibbi.gov.in/uploads/auction_notice_liquidation/e4d9da7f3d9029dd65c1c91ce9eabaa5.pdf,"54,14,00,000",CD as a going concer...CD as a going concern,05-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742096764_7621.pdf
Issue of Auction Notice,15-03-2025,DIVYA AGRO CHEM PRIVATE LIMITED,15-04-2025,Palak Swapnil Desai,https://ibbi.gov.in/uploads/auction_notice_liquidation/d2931711de2d74b47cff4d7ec3d9984b.pdf,"92,34,000","Option A-Purchase of...Option A-Purchase of M/s Divya Agro Chem Pvt Ltd. (in liquidation) (hereinafter referred to as the “Company” or “Corporate Debtor” or “CD”) as going concern as per Regulation 32(e); and Option B Purchase of Factory Land & Building, furniture and fixtures located Plot no. A-14, Mahad Industrial Area, Village- Kamble, Raigad- 402 309",12-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742026893_7609.pdf
Issue of Auction Notice,15-03-2025,S.K.S Textiles Ltd,14-04-2025,Rajkumar Feru Gupta,https://ibbi.gov.in/uploads/auction_notice_liquidation/64706d39c16c2fb1c67d229720ff06ec.pdf,0,"Assignment of the re...Assignment of the recovery from the PUFE Transaction Application filed before
the Hon'ble NCLT in the matter of SKS Textiles Limited (In Liquidation) for
recovery of Rs. 616.75 crores",28-03-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742023642_7611.pdf
Issue of Auction Notice,15-03-2025,VINDHYAVASINI STEEL CORPORATION PRIVATE LIMITED,11-04-2025,Mrs. Megha Agrawal,https://ibbi.gov.in/uploads/auction_notice_liquidation/7b91c120881e8d3a207b02d3346894a6.pdf,"10,93,50,000","Sale of Corporate De...Sale of Corporate Debtor Vindhyavasini Steel Corporation Private Limited, as a going concern basis under Regulation 32 (e) of Liquidation Regulations, 2016), (except PUFE Transactions)",08-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742031983_7613.pdf
Issue of Auction Notice,15-03-2025,VINDHYAVASINI STEEL CORPORATION PRIVATE LIMITED,11-04-2025,Mrs. Megha Agrawal,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-15-152020-qvw64-7b91c120881e8d3a207b02d3346894a6.pdf,"10,93,50,000",Entire assets i.e. L...Entire assets i.e. Land & Building inclusive of the shed,08-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742032220_7614.pdf
Issue of Auction Notice,15-03-2025,VINDHYAVASINI STEEL CORPORATION PRIVATE LIMITED,11-04-2025,Mrs. Megha Agrawal,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-15-152155-cs2it-7b91c120881e8d3a207b02d3346894a6.pdf,"8,12,10,600","Land & Building (exc...Land & Building (excluding shed) admeasuring approx. 12.34 acres located at Gut No- 59,60/1, 61/1, 708,708/2 & 710, village-Biloshi & Vasuri Khurd, Tal. -Wada, District- Palghar",08-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742032315_7615.pdf
Issue of Auction Notice,15-03-2025,VINDHYAVASINI STEEL CORPORATION PRIVATE LIMITED,11-04-2025,Mrs. Megha Agrawal,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-15-152430-lxrz1-7b91c120881e8d3a207b02d3346894a6.pdf,"2,75,56,200","Shed at Gut No- 59,6...Shed at Gut No- 59,60/1, 61/1, 708,708/2 & 710, village-Biloshi & Vasuri Khurd, Tal. -Wada, District- Palghar",08-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742032470_7616.pdf
Issue of Auction Notice,15-03-2025,Bombay Rayon Fashions Limited,15-04-2025,Mr. Rajeev Ranjan Singh,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-15-153416-o3tvn-ec0acad023baadb45e4665d2065b23b4.pdf,"1,61,09,604","Asset A - Flats at P...Asset A - Flats at Provident Housing Welworth City, Bangalore, Karnataka",10-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742033056_7617.pdf
Issue of Auction Notice,15-03-2025,Bombay Rayon Fashions Limited,15-04-2025,Mr. Rajeev Ranjan Singh,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-15-153747-jkfts-ec0acad023baadb45e4665d2065b23b4.pdf,"57,47,046","Asset-B Flats at Sh...Asset-B Flats at Shree Residency, Islampur, Maharashtra",10-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742033267_7618.pdf
Corrigendum,15-03-2025,PPS Enviro Power Pvt Ltd,19-03-2025,Kallat Vatsa Kumar,https://ibbi.gov.in/uploads/auction_notice_liquidation/04d4c510d1e3652a27b3e0c0cdb66a53.pdf,"54,00,00,000",No changes. Corrigen...No changes. Corrigendum No. 4 issued extending date for submission of  EMD to 18.03.2025 and E Auction date to 19.03.2025 ( 2 PM to 4 PM) alongwith other related dates.,18-03-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1742041397_7619.pdf
Issue of Auction Notice,13-03-2025,Yummz Foods Private Limited,08-04-2025,Mr. Sanjeev Jhunjhunwala,https://ibbi.gov.in/uploads/auction_notice_liquidation/9ebf73fe9c5774bb1a1b76cf4ec454a4.pdf,"4,84,00,000","BLOCK-A,
Sale of As...BLOCK-A,
Sale of Assets of the Corporate Debtor as a Going Concern (Without Liabilities) as per Regulation 32(e) of the IBBI Liquidation Process Regulation 2016.
BLOCK-B,
A set of assets collectively, comprising of Land, Building, Plant & Machinery and Securities & Financial Assets as per Regulation 32(c) of the IBBI Liquidation Process Regulation 2016, As is where is, As is what is, whatever there is basis and Without recourse basis.",05-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1741847700_7599.pdf
Corrigendum,13-03-2025,Yummz Foods Private Limited,08-04-2025,Mr. Sanjeev Jhunjhunwala,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-12-170859-bfjkg-010b20a21ec5d61d6f8b51311680cc34.pdf,"4,84,00,000","BLOCK-A,
Sale of As...BLOCK-A,
Sale of Assets of the Corporate Debtor as a Going Concern (Without Liabilities) as per Regulation 32(e) of the IBBI Liquidation Process Regulation 2016.
BLOCK-B,
A set of assets collectively, comprising of Land, Building, Plant & Machinery and Securities & Financial Assets as per Regulation 32(c) of the IBBI Liquidation Process Regulation 2016, As is where is, As is what is, whatever there is basis and Without recourse basis.",05-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1741847732_7600.pdf
Issue of Auction Notice,13-03-2025,Reliable Finance Corpn Private Limited,09-04-2025,Mr. Satyendra Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/e06328c3a9ec43e8cf72462db1789c30.pdf,"3,50,09,810.41",Non-current investme...Non-current investments except Akul Securities Pvt Ltd,07-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1741850588_7601.pdf
Issue of Auction Notice,13-03-2025,Reliable Finance Corpn Private Limited,09-04-2025,Mr. Satyendra Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-13-123429-pwj9s-e06328c3a9ec43e8cf72462db1789c30.pdf,"3,24,26,147.29","Inventories except s...Inventories except shares of India Stuffyarn Ltd, Carewell Exim Ltd, Intellectual Builders Pvt Ltd and Yuvraj Exports Pvt Ltd",07-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1741850676_7602.pdf
Issue of Auction Notice,13-03-2025,Reliable Finance Corpn Private Limited,09-04-2025,Mr. Satyendra Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-13-123944-zwig5-e06328c3a9ec43e8cf72462db1789c30.pdf,"4,74,34,726.80","Entire Company with ...Entire Company with all Assets are as per asset memorandum on the basis of going concern except shares of India Stuffyarn Ltd, Carewell Exim Ltd, Intellectual Builders Pvt Ltd, Yuvraj Exports Pvt Ltd and Akul Securities Pvt Ltd",07-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1741850709_7603.pdf
Issue of Auction Notice,13-03-2025,Reliable Finance Corpn Private Limited,09-04-2025,Mr. Satyendra Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-13-124310-c3azr-e06328c3a9ec43e8cf72462db1789c30.pdf,"3,88,26,261.33","NON CURRENT INVESTME...NON CURRENT INVESTMETS (UNQUOTED SHARES) ON STANDALONE BASIS PURSUANT TO REGULATION 32(a) OF IBBI (LIQUIDATION) PROCESS REGULATIONS, 2016",07-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1741850735_7604.pdf
Issue of Auction Notice,13-03-2025,Reliable Finance Corpn Private Limited,09-04-2025,Mr. Satyendra Sharma,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-13-124848-shf3r-e06328c3a9ec43e8cf72462db1789c30.pdf,"3,65,79,129.89","INVENTORIES ON STAND...INVENTORIES ON STANDALONE BASIS PURSUANT TO REGULATION 32(a) OF IBBI (LIQUIDATION) PROCESS REGULATIONS, 2016",07-04-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1741850756_7605.pdf
